,Age,Gender,Income Quintile,Race and Ethnicity,Region,Affinity,Familiarity,Previously Purchased,Channel: WXP,Channel: RCQ,Channel: MegaNews,Channel: The Springfield Times,Channel: The Springfield Journal,Channel: The Springfield Post,Channel: The Franklin Burgher,Channel: GolfMAX,Channel: Sloth Magazine,Channel: GlitzNGlam,Channel: Cooking with Kevin,Channel: The Coffee Channel
15,65+,Female,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
16,25-54,Female,5,Non-Hispanic White,West,Neutral,Unfamiliar,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No
17,25-54,Male,5,Non-Hispanic White,Midwest,Like,Very familiar,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
18,55-64,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No
19,65+,Male,5,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No
20,25-54,Female,4,Hispanic,West,Neutral,Somewhat familiar,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No
21,65+,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No
22,15-24,Female,4,Asian,South,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No
23,25-54,Male,5,Black,South,Like,Somewhat familiar,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
24,25-54,Female,5,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
25,25-54,Female,2,Asian,Midwest,Neutral,Unfamiliar,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
26,25-54,Female,1,Hispanic,West,Neutral,Unfamiliar,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No
27,15-24,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
28,25-54,Male,3,Non-Hispanic White,West,Neutral,Somewhat familiar,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No
29,65+,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No
30,65+,Male,1,Hispanic,South,Like,Somewhat familiar,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No
31,15-24,Male,2,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No
32,15-24,Male,5,Hispanic,Midwest,Neutral,Somewhat familiar,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes
33,25-54,Male,4,Black,West,Neutral,Very familiar,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No
34,65+,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
35,25-54,Male,5,Non-Hispanic White,Midwest,Dislike,Very familiar,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes
36,25-54,Female,5,Non-Hispanic White,Northeast,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
37,25-54,Female,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
38,25-54,Female,1,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
39,55-64,Male,5,Non-Hispanic White,South,Neutral,Somewhat familiar,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes
40,55-64,Female,2,Non-Hispanic White,Midwest,Dislike,Somewhat familiar,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No
41,65+,Female,3,Non-Hispanic White,Northeast,Neutral,Somewhat familiar,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No
42,65+,Female,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
43,25-54,Male,1,Black,West,Like,Very familiar,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
44,65+,Male,3,Non-Hispanic White,Midwest,Neutral,Somewhat familiar,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No
45,15-24,Female,3,Non-Hispanic White,Northeast,Dislike,Somewhat familiar,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
46,25-54,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
47,55-64,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No
48,25-54,Female,5,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No
49,65+,Male,4,Non-Hispanic White,West,Neutral,Unfamiliar,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No
50,25-54,Female,4,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
51,25-54,Male,4,Non-Hispanic White,South,Strongly like,Very familiar,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
52,25-54,Female,4,Hispanic,Midwest,Strongly dislike,Somewhat familiar,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes
53,25-54,Male,4,Non-Hispanic White,Midwest,Neutral,Very familiar,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes
54,55-64,Female,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No
55,55-64,Female,3,Non-Hispanic White,West,Dislike,Somewhat familiar,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
56,25-54,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
57,65+,Male,3,Non-Hispanic White,West,Like,Very familiar,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No
58,25-54,Male,5,Non-Hispanic White,Midwest,Neutral,Somewhat familiar,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
59,15-24,Male,1,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
60,65+,Female,2,Asian,South,Neutral,Unfamiliar,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No
61,25-54,Male,3,Black,Northeast,Dislike,Very familiar,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
62,25-54,Male,1,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No
63,65+,Male,4,Asian,West,Like,Very familiar,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes
64,15-24,Male,4,Non-Hispanic White,Midwest,Dislike,Somewhat familiar,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No
65,65+,Male,3,Asian,West,Like,Somewhat familiar,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No
66,65+,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes
67,15-24,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
68,25-54,Female,3,Black,West,Like,Somewhat familiar,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No
69,25-54,Male,5,Non-Hispanic White,West,Strongly dislike,Somewhat familiar,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No
70,25-54,Female,3,Black,West,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
71,65+,Female,4,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No
72,65+,Female,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No
73,25-54,Male,1,Hispanic,Northeast,Dislike,Very familiar,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
74,25-54,Female,2,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No
75,55-64,Male,2,Hispanic,West,Neutral,Very familiar,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
76,25-54,Female,2,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No
77,65+,Female,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
78,55-64,Female,2,Black,West,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
79,25-54,Male,1,Non-Hispanic White,Midwest,Neutral,Somewhat familiar,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
80,55-64,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
81,55-64,Male,5,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No
82,15-24,Male,2,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No
83,25-54,Female,2,Black,West,Neutral,Somewhat familiar,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No
84,15-24,Male,1,Black,South,Strongly dislike,Somewhat familiar,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
85,55-64,Male,5,Non-Hispanic White,South,Like,Somewhat familiar,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes
86,65+,Female,5,Hispanic,Midwest,Neutral,Unfamiliar,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
87,55-64,Female,3,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No
88,65+,Female,2,Hispanic,South,Neutral,Unfamiliar,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No
89,15-24,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
90,25-54,Female,2,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes
91,65+,Female,3,Black,South,Neutral,Unfamiliar,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
92,25-54,Male,3,Hispanic,Midwest,Neutral,Somewhat familiar,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
93,25-54,Female,3,Black,Northeast,Strongly dislike,Very familiar,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No
94,25-54,Female,4,Black,Northeast,Neutral,Somewhat familiar,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No
95,15-24,Male,5,Non-Hispanic White,West,Neutral,Somewhat familiar,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No
96,25-54,Female,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
97,25-54,Male,3,Non-Hispanic White,South,Neutral,Somewhat familiar,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
98,25-54,Male,5,Non-Hispanic White,Midwest,Strongly dislike,Very familiar,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes
99,65+,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No
100,25-54,Male,4,Non-Hispanic White,Northeast,Neutral,Very familiar,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No
101,25-54,Male,1,Non-Hispanic White,South,Strongly dislike,Somewhat familiar,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes
102,25-54,Male,5,Black,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
103,25-54,Male,4,Non-Hispanic White,Northeast,Dislike,Very familiar,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
104,65+,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No
105,15-24,Female,2,Black,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
106,25-54,Male,5,Non-Hispanic White,West,Like,Somewhat familiar,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
107,25-54,Female,3,Hispanic,Northeast,Neutral,Somewhat familiar,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No
108,65+,Male,5,Hispanic,Midwest,Neutral,Very familiar,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
109,25-54,Female,4,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
110,15-24,Female,1,Non-Hispanic White,Northeast,Dislike,Somewhat familiar,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No
111,25-54,Male,1,Asian,West,Like,Somewhat familiar,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No
112,55-64,Male,4,Non-Hispanic White,South,Strongly like,Somewhat familiar,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
113,55-64,Female,4,Asian,West,Neutral,Somewhat familiar,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No
114,15-24,Male,1,Non-Hispanic White,West,Dislike,Very familiar,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes
115,65+,Male,5,Non-Hispanic White,Northeast,Neutral,Very familiar,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No
116,25-54,Male,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No
117,15-24,Female,1,Hispanic,Midwest,Dislike,Somewhat familiar,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes
118,25-54,Male,4,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No
119,65+,Male,2,Hispanic,Northeast,Neutral,Very familiar,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No
120,25-54,Female,2,Black,West,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No
121,25-54,Female,3,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
122,25-54,Female,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No
123,25-54,Female,4,Hispanic,South,Neutral,Unfamiliar,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No
124,15-24,Female,4,Non-Hispanic White,Northeast,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
125,25-54,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No
126,15-24,Male,2,Non-Hispanic White,Midwest,Strongly dislike,Somewhat familiar,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
127,25-54,Female,1,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No
128,25-54,Male,5,Hispanic,Northeast,Neutral,Somewhat familiar,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
129,15-24,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
130,15-24,Female,3,Black,South,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
131,25-54,Male,1,Non-Hispanic White,Midwest,Neutral,Very familiar,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes
132,55-64,Male,1,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
133,15-24,Female,4,Asian,South,Neutral,Unfamiliar,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
134,25-54,Female,3,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
135,65+,Male,5,Black,Midwest,Like,Somewhat familiar,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No
136,25-54,Male,5,Non-Hispanic White,South,Like,Somewhat familiar,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
137,65+,Male,4,Non-Hispanic White,South,Strongly like,Somewhat familiar,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No
138,25-54,Female,2,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
139,15-24,Male,4,Hispanic,South,Strongly dislike,Somewhat familiar,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
140,25-54,Male,5,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
141,65+,Female,3,Non-Hispanic White,Northeast,Neutral,Somewhat familiar,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
142,55-64,Female,1,Black,South,Neutral,Unfamiliar,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No
143,55-64,Female,4,Black,South,Neutral,Unfamiliar,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No
144,55-64,Male,5,Non-Hispanic White,Midwest,Like,Very familiar,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
145,25-54,Female,3,Asian,South,Neutral,Unfamiliar,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
146,25-54,Male,3,Hispanic,Midwest,Dislike,Very familiar,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
147,55-64,Female,2,Non-Hispanic White,Northeast,Neutral,Somewhat familiar,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No
148,55-64,Male,4,Hispanic,Midwest,Like,Somewhat familiar,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No
149,25-54,Male,5,Non-Hispanic White,West,Like,Very familiar,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes
150,25-54,Female,5,Black,Northeast,Neutral,Somewhat familiar,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
151,25-54,Male,2,Asian,West,Neutral,Somewhat familiar,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No
152,25-54,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
153,25-54,Female,1,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
154,25-54,Female,1,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
155,55-64,Male,2,Hispanic,Northeast,Dislike,Somewhat familiar,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
156,25-54,Male,5,Black,Northeast,Like,Very familiar,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes
157,15-24,Male,3,Asian,Midwest,Strongly dislike,Somewhat familiar,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
158,65+,Female,3,Hispanic,Midwest,Neutral,Unfamiliar,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No
159,25-54,Female,2,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
160,55-64,Female,4,Non-Hispanic White,West,Neutral,Unfamiliar,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No
161,25-54,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
162,15-24,Male,2,Hispanic,Midwest,Strongly dislike,Very familiar,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No
163,25-54,Male,5,Black,West,Like,Very familiar,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No
164,25-54,Male,1,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
165,15-24,Female,4,Non-Hispanic White,Northeast,Dislike,Somewhat familiar,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes
166,65+,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No
167,25-54,Female,2,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
168,25-54,Male,5,Hispanic,Midwest,Dislike,Very familiar,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
169,25-54,Female,1,Hispanic,Midwest,Neutral,Unfamiliar,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
170,15-24,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No
171,65+,Male,2,Black,South,Neutral,Unfamiliar,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No
172,55-64,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No
173,25-54,Male,1,Non-Hispanic White,Midwest,Neutral,Very familiar,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No
174,25-54,Male,4,Hispanic,Midwest,Strongly dislike,Very familiar,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
175,25-54,Male,4,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
176,25-54,Male,1,Asian,Midwest,Strongly dislike,Somewhat familiar,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes
177,65+,Male,3,Asian,Northeast,Dislike,Very familiar,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
178,25-54,Male,5,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No
179,55-64,Female,5,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
180,55-64,Female,3,Asian,Northeast,Strongly dislike,Somewhat familiar,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
181,25-54,Male,2,Non-Hispanic White,South,Neutral,Somewhat familiar,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
182,65+,Female,5,Hispanic,Northeast,Dislike,Very familiar,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No
183,25-54,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
184,25-54,Male,5,Non-Hispanic White,Midwest,Neutral,Very familiar,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
185,15-24,Female,3,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
186,55-64,Male,5,Non-Hispanic White,West,Strongly like,Very familiar,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No
187,65+,Male,1,Non-Hispanic White,Midwest,Dislike,Very familiar,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No
188,25-54,Female,5,Black,Northeast,Neutral,Somewhat familiar,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
189,65+,Male,3,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No
190,25-54,Male,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
191,55-64,Male,2,Asian,West,Neutral,Somewhat familiar,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No
192,65+,Female,1,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No
193,25-54,Male,1,Other,Midwest,Strongly dislike,Somewhat familiar,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes
194,55-64,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
195,25-54,Female,3,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
196,65+,Female,3,Non-Hispanic White,Midwest,Dislike,Somewhat familiar,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No
197,55-64,Female,4,Other,South,Neutral,Unfamiliar,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No
198,65+,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No
199,15-24,Male,1,Hispanic,Northeast,Strongly dislike,Very familiar,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes
